data sizing,model sizing,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,28
TRIGO,NONE,0.1672,0.2541,0.4299,0.5754,0.7066,0.7649,0.8206,0.8389,0.8571,0.8709,0.8813,0.8898,0.8924,0.8985,0.8958,0.899,0.8994,0.9021,0.9001,0.9016,0.9004,0.902,0.9009,0.9015,0.9008,0.9009,0.9007,0.9014,0.9005,0.9133
TRIGO,TRIGO,0.3089,0.5311,0.6324,0.7388,0.8092,0.8572,0.878,0.8866,0.8942,0.8941,0.8991,0.9011,0.9065,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133
TRIGO,BILINEAR,0.1389,0.3398,0.433,0.6052,0.7582,0.8233,0.8595,0.877,0.8858,0.8968,0.9,0.9045,0.9067,0.9085,0.9102,0.9097,0.9101,0.9097,0.91,0.9087,0.9087,0.9081,0.9079,0.9071,0.9076,0.9084,0.9076,0.9075,0.9075,0.9133
BILINEAR,NONE,0.2967,0.3412,0.4622,0.5481,0.6891,0.7643,0.817,0.8368,0.8656,0.8695,0.8828,0.8884,0.8939,0.8926,0.8974,0.8978,0.9027,0.9001,0.903,0.9021,0.904,0.903,0.9054,0.904,0.9061,0.9054,0.9061,0.906,0.906,0.9133
BILINEAR,TRIGO,0.1979,0.3922,0.5548,0.6767,0.7748,0.8356,0.8638,0.8817,0.8936,0.9004,0.9016,0.9059,0.9027,0.9064,0.9086,0.9077,0.9076,0.9081,0.9086,0.9067,0.9068,0.9065,0.9069,0.9054,0.9058,0.9052,0.9054,0.9054,0.9051,0.9133
BILINEAR,BILINEAR,0.3448,0.4175,0.5097,0.6604,0.7354,0.7921,0.8291,0.858,0.8765,0.8842,0.8888,0.8983,0.897,0.8998,0.9037,0.9009,0.9024,0.9024,0.9035,0.9022,0.9033,0.9029,0.9035,0.9024,0.9051,0.9018,0.9044,0.9042,0.9028,0.9133
