data sizing,model sizing,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,28
TRIGO,NONE,0.1036,0.185,0.2566,0.3244,0.4643,0.546,0.7032,0.7345,0.8048,0.8282,0.8682,0.887,0.8955,0.8958,0.8849,0.8799,0.8629,0.8576,0.8384,0.8321,0.8092,0.8063,0.7788,0.774,0.7483,0.7421,0.7129,0.7081,0.6808,0.9133
TRIGO,TRIGO,0.3089,0.5311,0.6324,0.7388,0.8092,0.8572,0.878,0.8866,0.8942,0.8941,0.8991,0.9011,0.9065,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133,0.9133
TRIGO,BILINEAR,0.1389,0.3398,0.433,0.6052,0.7582,0.8233,0.8595,0.877,0.8858,0.8968,0.9,0.9045,0.9067,0.9085,0.9102,0.9097,0.9101,0.9097,0.91,0.9087,0.9087,0.9081,0.9079,0.9071,0.9076,0.9084,0.9076,0.9075,0.9075,0.9133
BILINEAR,NONE,0.0971,0.2067,0.2581,0.3222,0.4413,0.519,0.6812,0.708,0.7895,0.8133,0.8641,0.8781,0.8931,0.8936,0.8947,0.889,0.8749,0.8723,0.8552,0.8497,0.8306,0.8276,0.8075,0.8049,0.7876,0.7847,0.7622,0.758,0.7402,0.9133
BILINEAR,TRIGO,0.1979,0.3922,0.5548,0.6767,0.7748,0.8356,0.8638,0.8817,0.8936,0.9004,0.9016,0.9059,0.9027,0.9064,0.9086,0.9077,0.9076,0.9081,0.9086,0.9067,0.9068,0.9065,0.9069,0.9054,0.9058,0.9052,0.9054,0.9054,0.9051,0.9133
BILINEAR,BILINEAR,0.3448,0.4175,0.5097,0.6604,0.7354,0.7921,0.8291,0.858,0.8765,0.8842,0.8888,0.8983,0.897,0.8998,0.9037,0.9009,0.9024,0.9024,0.9035,0.9022,0.9033,0.9029,0.9035,0.9024,0.9051,0.9018,0.9044,0.9042,0.9028,0.9133
