data sizing,model sizing,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59
TRIGO,NONE,0.0749,0.1447,0.2337,0.2903,0.4384,0.5649,0.6764,0.7325,0.8051,0.8437,0.8773,0.892,0.896,0.8965,0.8849,0.8777,0.8654,0.8569,0.8433,0.8374,0.8197,0.8133,0.7959,0.7887,0.7678,0.7602,0.7393,0.732,0.7161
TRIGO,TRIGO,0.3033,0.5295,0.639,0.7421,0.8034,0.8513,0.8726,0.8853,0.8883,0.8925,0.8978,0.9014,0.9057,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099
TRIGO,BILINEAR,0.1851,0.3258,0.4305,0.6105,0.7457,0.8214,0.8556,0.8746,0.8839,0.8907,0.8959,0.901,0.904,0.9037,0.9062,0.9061,0.9055,0.9062,0.9055,0.9051,0.9053,0.9052,0.9052,0.9053,0.9055,0.9051,0.9054,0.9052,0.9047
BILINEAR,NONE,0.0614,0.2138,0.2698,0.3115,0.431,0.5382,0.6604,0.7123,0.7901,0.8237,0.8672,0.8781,0.8899,0.891,0.8912,0.8845,0.8761,0.8703,0.8607,0.8544,0.843,0.8366,0.8243,0.8206,0.8037,0.8011,0.7859,0.7829,0.7685
BILINEAR,TRIGO,0.224,0.4372,0.5696,0.7,0.7801,0.8348,0.8639,0.8829,0.8903,0.8955,0.8983,0.9019,0.9004,0.9026,0.9048,0.9037,0.904,0.904,0.9035,0.9035,0.9026,0.9021,0.9014,0.9015,0.9008,0.9011,0.9002,0.9002,0.9002
BILINEAR,BILINEAR,0.3221,0.4197,0.5012,0.6625,0.7338,0.793,0.831,0.8545,0.8739,0.88,0.888,0.8913,0.8936,0.8947,0.8963,0.8982,0.8983,0.9006,0.9006,0.9002,0.9002,0.8999,0.8999,0.9009,0.9001,0.8994,0.9008,0.901,0.8997
