../saved_models/cnns/cnn-3-3,0.8866
../saved_models/cnns/cnn-5-5,0.8888
../saved_models/cnns/cnn-15-15,0.8901
../saved_models/cnns/cnn-20-20,0.8892
../saved_models/cnns/cnn-25-25,0.8856
../saved_models/cnns/cnn-28-28,0.8857
../saved_models/cnns/spectral-cnn-spectral-3-3,0.8052
../saved_models/cnns/spectral-cnn-spectral-5-5,0.8551
../saved_models/cnns/spectral-cnn-spectral-10-10,0.8786
../saved_models/cnns/spectral-cnn-spectral-15-15,0.8828
../saved_models/cnns/spectral-cnn-spectral-20-20,0.8761
../saved_models/cnns/spectral-cnn-spectral-25-25,0.8699
../saved_models/cnns/spectral-cnn-spectral-28-28,0.872
